id,totalDay,month,day,dayOfWeek,numberOfGames,homeTeamId,awayTeamId
173,34,4,30,2,4,9,5
174,34,4,30,2,5,1,3
175,35,5,1,3,0,0,6
176,35,5,1,3,1,8,4
177,35,5,1,3,2,10,2
178,35,5,1,3,3,11,7
179,35,5,1,3,4,9,5
180,35,5,1,3,5,1,3
181,36,5,2,4,0,4,0
182,36,5,2,4,1,2,8
183,36,5,2,4,2,6,10
184,36,5,2,4,3,3,11
185,36,5,2,4,4,7,9
186,36,5,2,4,5,1,5
187,37,5,3,5,0,4,0
188,37,5,3,5,1,2,8
189,37,5,3,5,2,6,10
190,37,5,3,5,3,3,11
191,37,5,3,5,4,7,9
192,37,5,3,5,5,1,5
193,38,5,4,6,0,4,0
194,38,5,4,6,1,2,8
195,38,5,4,6,2,6,10
196,38,5,4,6,3,3,11
197,38,5,4,6,4,7,9
198,38,5,4,6,5,1,5
199,39,5,5,0,0,0,2
200,39,5,5,0,1,8,6
201,39,5,5,0,2,10,4
202,39,5,5,0,3,11,1
203,39,5,5,0,4,5,7
204,39,5,5,0,5,9,3
205,40,5,6,1,0,0,2
206,40,5,6,1,1,8,6
207,40,5,6,1,2,10,4
208,40,5,6,1,3,11,1
209,40,5,6,1,4,5,7
210,40,5,6,1,5,9,3
211,41,5,7,2,0,0,2
212,41,5,7,2,1,8,6
213,41,5,7,2,2,10,4
214,41,5,7,2,3,11,1
215,41,5,7,2,4,5,7
216,41,5,7,2,5,9,3
217,43,5,9,4,0,8,0
218,43,5,9,4,1,4,6
219,43,5,9,4,2,2,10
220,43,5,9,4,3,3,7
221,43,5,9,4,4,11,5
222,43,5,9,4,5,9,1
223,44,5,10,5,0,8,0
224,44,5,10,5,1,4,6
225,44,5,10,5,2,2,10
226,44,5,10,5,3,3,7
227,44,5,10,5,4,11,5
228,44,5,10,5,5,9,1
229,45,5,11,6,0,8,0
230,45,5,11,6,1,4,6
231,45,5,11,6,2,2,10
232,45,5,11,6,3,3,7
233,45,5,11,6,4,11,5
234,45,5,11,6,5,9,1
235,47,5,13,1,0,4,2
236,47,5,13,1,1,10,8
237,47,5,13,1,2,6,0
238,47,5,13,1,3,3,9
239,47,5,13,1,4,7,5
240,47,5,13,1,5,1,11
241,48,5,14,2,0,4,2
242,48,5,14,2,1,10,8
243,48,5,14,2,2,6,0
244,48,5,14,2,3,3,9
245,48,5,14,2,4,7,5
246,48,5,14,2,5,1,11
247,49,5,15,3,0,4,2
248,49,5,15,3,1,10,8
249,49,5,15,3,2,6,0
250,49,5,15,3,3,3,9
251,49,5,15,3,4,7,5
252,49,5,15,3,5,1,11
253,50,5,16,4,0,0,10
254,50,5,16,4,1,8,4
255,50,5,16,4,2,2,6
256,50,5,16,4,3,11,9
257,50,5,16,4,4,5,3
258,50,5,16,4,5,1,7
259,51,5,17,5,0,0,10
260,51,5,17,5,1,8,4
261,51,5,17,5,2,2,6
262,51,5,17,5,3,11,9
263,51,5,17,5,4,5,3
264,51,5,17,5,5,1,7
265,52,5,18,6,0,0,10
266,52,5,18,6,1,8,4
267,52,5,18,6,2,2,6
268,52,5,18,6,3,11,9
269,52,5,18,6,4,5,3
270,52,5,18,6,5,1,7
271,54,5,20,1,0,4,10
272,54,5,20,1,1,2,0
273,54,5,20,1,2,6,8
274,54,5,20,1,3,3,1
275,54,5,20,1,4,7,11
276,54,5,20,1,5,9,5
277,55,5,21,2,0,4,10
278,55,5,21,2,1,2,0
279,55,5,21,2,2,6,8
280,55,5,21,2,3,3,1
281,55,5,21,2,4,7,11
282,55,5,21,2,5,9,5
283,56,5,22,3,0,4,10
284,56,5,22,3,1,2,0
285,56,5,22,3,2,6,8
286,56,5,22,3,3,3,1
287,56,5,22,3,4,7,11
288,56,5,22,3,5,9,5
289,57,5,23,4,0,0,8
290,57,5,23,4,1,10,2
291,57,5,23,4,2,6,4
292,57,5,23,4,3,7,3
293,57,5,23,4,4,5,11
294,57,5,23,4,5,1,9
295,58,5,24,5,0,0,8
296,58,5,24,5,1,10,2
297,58,5,24,5,2,6,4
298,58,5,24,5,3,7,3
299,58,5,24,5,4,5,11
300,58,5,24,5,5,1,9
301,59,5,25,6,0,0,8
302,59,5,25,6,1,10,2
303,59,5,25,6,2,6,4
304,59,5,25,6,3,7,3
305,59,5,25,6,4,5,11
306,59,5,25,6,5,1,9
307,61,5,27,1,0,0,6
308,61,5,27,1,1,8,10
309,61,5,27,1,2,2,4
310,61,5,27,1,3,11,7
311,61,5,27,1,4,5,9
312,61,5,27,1,5,1,3
313,62,5,28,2,0,0,6
314,62,5,28,2,1,8,10
315,62,5,28,2,2,2,4
316,62,5,28,2,3,11,7
317,62,5,28,2,4,5,9
318,62,5,28,2,5,1,3
319,63,5,29,3,0,0,6
320,63,5,29,3,1,8,10
321,63,5,29,3,2,2,4
322,63,5,29,3,3,11,7
323,63,5,29,3,4,5,9
324,63,5,29,3,5,1,3
325,64,5,30,4,0,4,8
326,64,5,30,4,1,10,0
327,64,5,30,4,2,6,2
328,64,5,30,4,3,3,5
329,64,5,30,4,4,7,1
330,64,5,30,4,5,9,11
331,65,5,31,5,0,4,8
332,65,5,31,5,1,10,0
333,65,5,31,5,2,6,2
334,65,5,31,5,3,3,5
335,65,5,31,5,4,7,1
336,65,5,31,5,5,9,11
337,66,6,1,6,0,4,8
338,66,6,1,6,1,10,0
339,66,6,1,6,2,6,2
340,66,6,1,6,3,3,5
341,66,6,1,6,4,7,1
342,66,6,1,6,5,9,11
343,68,6,3,1,0,3,2
344,68,6,3,1,1,7,4
345,68,6,3,1,2,11,8
346,68,6,3,1,3,5,0
347,68,6,3,1,4,9,6
348,68,6,3,1,5,1,10
349,69,6,4,2,0,3,2
350,69,6,4,2,1,7,4
351,69,6,4,2,2,11,8
352,69,6,4,2,3,5,0
353,69,6,4,2,4,9,6
354,69,6,4,2,5,1,10
355,70,6,5,3,0,3,2
356,70,6,5,3,1,7,4
357,70,6,5,3,2,11,8
358,70,6,5,3,3,5,0
359,70,6,5,3,4,9,6
360,70,6,5,3,5,1,10
361,71,6,6,4,0,0,7
362,71,6,6,4,1,8,1
363,71,6,6,4,2,4,3
364,71,6,6,4,3,10,5
365,71,6,6,4,4,2,9
366,71,6,6,4,5,6,11
367,72,6,7,5,0,0,7
368,72,6,7,5,1,8,1
369,72,6,7,5,2,4,3
370,72,6,7,5,3,10,5
371,72,6,7,5,4,2,9
372,72,6,7,5,5,6,11
373,73,6,8,6,0,0,7
374,73,6,8,6,1,8,1
375,73,6,8,6,2,4,3
376,73,6,8,6,3,10,5
377,73,6,8,6,4,2,9
378,73,6,8,6,5,6,11
379,75,6,10,1,0,3,8
380,75,6,10,1,1,7,10
381,75,6,10,1,2,11,2
382,75,6,10,1,3,5,6
383,75,6,10,1,4,9,4
384,75,6,10,1,5,1,0
385,76,6,11,2,0,3,8
386,76,6,11,2,1,7,10
387,76,6,11,2,2,11,2
388,76,6,11,2,3,5,6
389,76,6,11,2,4,9,4
390,76,6,11,2,5,1,0
391,77,6,12,3,0,3,8
392,77,6,12,3,1,7,10
393,77,6,12,3,2,11,2
394,77,6,12,3,3,5,6
395,77,6,12,3,4,9,4
396,77,6,12,3,5,1,0
397,78,6,13,4,0,3,6
398,78,6,13,4,1,7,2
399,78,6,13,4,2,11,10
400,78,6,13,4,3,5,8
401,78,6,13,4,4,9,0
402,78,6,13,4,5,1,4
403,79,6,14,5,0,3,6
404,79,6,14,5,1,7,2
405,79,6,14,5,2,11,10
406,79,6,14,5,3,5,8
407,79,6,14,5,4,9,0
408,79,6,14,5,5,1,4
409,80,6,15,6,0,3,6
410,80,6,15,6,1,7,2
411,80,6,15,6,2,11,10
412,80,6,15,6,3,5,8
413,80,6,15,6,4,9,0
414,80,6,15,6,5,1,4
415,82,6,17,1,0,0,3
416,82,6,17,1,1,8,7
417,82,6,17,1,2,4,11
418,82,6,17,1,3,10,9
419,82,6,17,1,4,2,5
420,82,6,17,1,5,6,1
421,83,6,18,2,0,0,3
422,83,6,18,2,1,8,7
423,83,6,18,2,2,4,11
424,83,6,18,2,3,10,9
425,83,6,18,2,4,2,5
426,83,6,18,2,5,6,1
427,84,6,19,3,0,0,3
428,84,6,19,3,1,8,7
429,84,6,19,3,2,4,11
430,84,6,19,3,3,10,9
431,84,6,19,3,4,2,5
432,84,6,19,3,5,6,1
433,85,6,20,4,0,0,11
434,85,6,20,4,1,8,9
